127.0.0.1 - - [15/Jul/2022:14:24:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:29 +0530] "GET /HealthCareProjects/AdminHome.jsp HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:29 +0530] "GET /HealthCareProjects/img/2855.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:29 +0530] "GET /HealthCareProjects/img/Medical.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:51 +0530] "GET /HealthCareProjects/HomePage.jsp HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:51 +0530] "GET /HealthCareProjects/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:24:55 +0530] "GET /HealthCareProjects/userRegister.jsp HTTP/1.1" 200 4329
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:22 +0530] "POST /HealthCareProjects/UserRegister HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:46 +0530] "GET /HealthCareProjects/adminRegister.jsp HTTP/1.1" 200 5066
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:46 +0530] "GET /HealthCareProjects/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:46 +0530] "GET /HealthCareProjects/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:46 +0530] "GET /HealthCareProjects/img/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:46 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:46 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-500.woff2 HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-500.woff HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-500.ttf HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:25:47 +0530] "GET /HealthCareProjects/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 823
